env_code	pop_code	ril_code	Prd_trait_mean	Prd_trait_kPara	Obs_trait	Line_mean
01NC06	1	33-16	78.406	77.555	74	72.25
02MO06	1	33-16	70.47	74.869	72	72.5
04IL06	1	33-16	85.092	81.027	84	71
05FL06	1	33-16	61.15	62.207	63	73.625
06PR06	1	33-16	55.565	51.988	56	74.5
07NC07	1	33-16	74.693	78.595	72	72.5
09NY07	1	33-16	84.111	82.239	89	70.375
10IL07	1	33-16	76.398	75.636	78	71.75
11FL07	1	33-16	64.941	64.549	64	73.5
01NC06	1	38-11	79.099	78.376	78	75
02MO06	1	38-11	72.796	76.842	71	76
04IL06	1	38-11	85.738	81.909	84	74.1428571428571
06PR06	1	38-11	60.879	58.756	58	77.8571428571429
07NC07	1	38-11	76.171	79.663	74	75.5714285714286
09NY07	1	38-11	87.025	84.774	84	74.1428571428571
10IL07	1	38-11	76.62	76.011	86	73.8571428571429
11FL07	1	38-11	67.042	67.013	68	76.4285714285714
01NC06	1	4226	68.15	67.667	67	64
02MO06	1	4226	62.853	65.905	65	64.25
04IL06	1	4226	71.867	69.635	75	63
05FL06	1	4226	55.196	55.8	62	64.625
06PR06	1	4226	55.209	53.217	50	66.125
07NC07	1	4226	65.748	68.482	65	64.25
09NY07	1	4226	73.603	72.385	73	63.25
10IL07	1	4226	67.674	67.186	64	64.375
11FL07	1	4226	59.309	58.891	58	65.125
01NC06	1	4722	78.603	77.956	81	72.75
02MO06	1	4722	71.216	75.638	77	73.25
04IL06	1	4722	86.696	82.825	84	72.375
05FL06	1	4722	62.887	63.554	63	75
06PR06	1	4722	59.585	56.164	54	76.125
07NC07	1	4722	76.059	80.144	72	73.875
09NY07	1	4722	87.663	85.873	85	72.25
10IL07	1	4722	77.468	76.824	80	72.875
11FL07	1	4722	65.836	65.153	67	74.5
01NC06	1	A188	65.405	64.671	62	60.5714285714286
02MO06	1	A188	56.903	61.208	66	60
04IL06	1	A188	69.703	66.771	76	58.5714285714286
05FL06	1	A188	51.116	51.609	46	62.8571428571429
06PR06	1	A188	42.842	36.194	45	63
07NC07	1	A188	61.921	65.7	60	60.8571428571429
09NY07	1	A188	73.555	71.729	70	59.4285714285714
10IL07	1	A188	64.244	63.522	61	60.7142857142857
01NC06	1	A214N	84.775	84.14	86	77.25
02MO06	1	A214N	74.382	80.093	88	77
04IL06	1	A214N	93.732	89.6	94	76.25
05FL06	1	A214N	65.379	65.671	62	80.25
06PR06	1	A214N	57.219	50.005	57	80.875
07NC07	1	A214N	80.629	85.869	81	77.875
09NY07	1	A214N	96.833	95.053	91	76.625
10IL07	1	A214N	83.715	83.017	82	77.75
11FL07	1	A214N	69.742	68.606	63	80.125
01NC06	1	A239	70.347	69.657	66	66.1428571428571
02MO06	1	A239	62.841	66.998	66	66.1428571428571
04IL06	1	A239	75.195	71.945	78	64.4285714285714
06PR06	1	A239	49.629	45.444	50	68.4285714285714
07NC07	1	A239	66.888	70.46	65	66.2857142857143
09NY07	1	A239	77.257	75.307	76	64.7142857142857
10IL07	1	A239	68.293	67.689	71	65.4285714285714
11FL07	1	A239	58.29	58.111	57	67.4285714285714
01NC06	1	A272	71.613	71.014	74	66.25
02MO06	1	A272	64.884	68.939	70	66.75
04IL06	1	A272	78.481	75.101	78	65.75
05FL06	1	A272	58.003	58.583	55	68.625
06PR06	1	A272	51.841	47.714	52	69
07NC07	1	A272	68.99	72.635	68	67
09NY07	1	A272	80.193	78.491	77	65.875
10IL07	1	A272	70.891	70.281	71	66.625
11FL07	1	A272	60.369	59.789	59	68.125
01NC06	1	A441-5	77.997	77.524	82	72.75
02MO06	1	A441-5	71.526	75.587	77	73.375
04IL06	1	A441-5	85.264	82.083	84	72.5
05FL06	1	A441-5	63.009	63.43	67	74.625
06PR06	1	A441-5	60.118	55.884	57	75.875
07NC07	1	A441-5	75.462	79.14	76	73.5
09NY07	1	A441-5	86.524	85.201	84	72.5
10IL07	1	A441-5	77.919	77.377	75	73.625
11FL07	1	A441-5	67.936	67.222	62	75.25
01NC06	1	A554	62.501	61.802	62	58.4285714285714
02MO06	1	A554	56.729	60.31	56	59.2857142857143
04IL06	1	A554	68.178	64.922	68	57.5714285714286
05FL06	1	A554	48.966	49.794	50	60.1428571428571
06PR06	1	A554	43.969	39.675	45	60.8571428571429
07NC07	1	A554	59.623	62.702	60	58.7142857142857
09NY07	1	A554	67.856	66.285	71	57.1428571428571
10IL07	1	A554	61.883	61.203	59	58.8571428571429
01NC06	1	A556	67.087	66.268	66	61.5
02MO06	1	A556	60.507	64.563	59	62.375
04IL06	1	A556	72.345	68.9	76	60.25
05FL06	1	A556	52.634	53.678	50	63.5
06PR06	1	A556	45.382	42.038	48	63.75
07NC07	1	A556	63.636	67.054	65	61.625
09NY07	1	A556	74.854	72.635	73	60.625
10IL07	1	A556	65.988	65.226	65	61.625
11FL07	1	A556	54.646	54.356	56	62.75
01NC06	1	A6	87.502	85.982	80	80
02MO06	1	A6	80.313	83.884	76	80.5714285714286
05FL06	1	A6	69.728	70.615	78	80.2857142857143
06PR06	1	A6	69.083	66.914	64	82.2857142857143
07NC07	1	A6	82.23	84.861	88	78.8571428571429
09NY07	1	A6	89.647	87.605	97	77.5714285714286
10IL07	1	A6	85.65	84.345	82	79.7142857142857
11FL07	1	A6	74.523	73.929	75	80.7142857142857
01NC06	1	A619	68.965	68.25	67	65.1428571428571
02MO06	1	A619	63.522	67.203	58	66.4285714285714
04IL06	1	A619	74.711	71.148	74	64.1428571428571
06PR06	1	A619	50.907	48.985	50	67.5714285714286
07NC07	1	A619	65.697	68.798	67	65.1428571428571
09NY07	1	A619	75.38	73.277	75	64
10IL07	1	A619	67.037	66.43	72	64.4285714285714
11FL07	1	A619	57.19	57.26	60	66.1428571428571
01NC06	1	A632	66.869	66.401	68	62.875
02MO06	1	A632	62.132	65.13	63	63.5
04IL06	1	A632	72.068	69.457	71	62.5
05FL06	1	A632	56.193	56.702	56	64.375
06PR06	1	A632	52.352	49.53	52	64.875
07NC07	1	A632	64.587	67.188	66	63.125
09NY07	1	A632	71.596	70.514	74	62.125
10IL07	1	A632	66.898	66.403	62	63.625
11FL07	1	A632	58.109	57.689	59	64
01NC06	1	A634	68.46	67.785	66	63.125
02MO06	1	A634	61.463	65.335	65	63.25
04IL06	1	A634	74.333	70.96	74	62.125
05FL06	1	A634	55.299	55.97	50	65.125
06PR06	1	A634	47.107	42.856	51	65
07NC07	1	A634	65.158	68.563	65	63.25
09NY07	1	A634	75.045	73.369	75	62
10IL07	1	A634	66.8	66.181	69	62.75
11FL07	1	A634	56.888	56.439	56	64.375
01NC06	1	A635	71.722	71.016	73	66.875
02MO06	1	A635	66.356	69.937	64	68
04IL06	1	A635	76.652	73.622	80	66
05FL06	1	A635	58.266	59.254	60	68.5
06PR06	1	A635	55.446	53.634	52	69.5
07NC07	1	A635	69.157	72.221	69	67.375
09NY07	1	A635	79.502	77.45	76	66.5
10IL07	1	A635	71.107	70.433	70	67.25
11FL07	1	A635	60.677	60.393	64	68
01NC06	1	A641	64.519	63.818	62	59.625
02MO06	1	A641	58.506	62.022	58	60.125
04IL06	1	A641	70.499	67.028	68	58.875
05FL06	1	A641	51.62	52.483	50	61.125
06PR06	1	A641	45.333	42.207	48	61.375
07NC07	1	A641	61.499	64.537	61	59.75
09NY07	1	A641	68.364	66.916	75	58
10IL07	1	A641	63.412	62.765	62	59.625
11FL07	1	A641	53.46	53.165	55	60.5
01NC06	1	A654	60.864	60.672	61	56.4285714285714
04IL06	1	A654	65.458	63.055	68	55.4285714285714
05FL06	1	A654	49.912	51.026	45	58.7142857142857
06PR06	1	A654	43.325	41.163	45	58.7142857142857
07NC07	1	A654	58.35	61.774	58	56.8571428571429
09NY07	1	A654	68.346	67.1	64	56
10IL07	1	A654	59.668	59.505	62	56.2857142857143
11FL07	1	A654	50.474	50.616	53	57.5714285714286
01NC06	1	A659	63.251	62.755	68	60.1428571428571
02MO06	1	A659	58.448	61.384	65	60.5714285714286
