pop_code	Day_x	Day_y	window	R_DL	R_GDD	R_PTT	R_PTR	R_PTS	nR_DL	nR_GDD	nR_PTT	nR_PTR	nR_PTS
1	1	7	6	0.8853	-0.9468	-0.909	-0.9516	0.2425	-0.8853	0.9468	0.909	0.9516	-0.2425
1	1	8	7	0.8854	-0.9445	-0.9018	-0.9505	0.2847	-0.8854	0.9445	0.9018	0.9505	-0.2847
1	1	9	8	0.8855	-0.9348	-0.8816	-0.9443	0.3596	-0.8855	0.9348	0.8816	0.9443	-0.3596
1	1	10	9	0.8858	-0.9295	-0.8633	-0.943	0.4048	-0.8858	0.9295	0.8633	0.943	-0.4048
1	1	11	10	0.886	-0.9242	-0.8463	-0.9413	0.4713	-0.886	0.9242	0.8463	0.9413	-0.4713
1	1	12	11	0.8863	-0.9226	-0.8349	-0.9424	0.4829	-0.8863	0.9226	0.8349	0.9424	-0.4829
1	1	13	12	0.8865	-0.919	-0.8221	-0.9416	0.5062	-0.8865	0.919	0.8221	0.9416	-0.5062
1	1	14	13	0.8868	-0.9171	-0.8179	-0.9404	0.5515	-0.8868	0.9171	0.8179	0.9404	-0.5515
1	1	15	14	0.887	-0.916	-0.8174	-0.9386	0.596	-0.887	0.916	0.8174	0.9386	-0.596
1	1	16	15	0.8871	-0.9112	-0.8062	-0.9349	0.652	-0.8871	0.9112	0.8062	0.9349	-0.652
1	1	17	16	0.8873	-0.9061	-0.7928	-0.9308	0.6708	-0.8873	0.9061	0.7928	0.9308	-0.6708
1	1	18	17	0.8875	-0.9009	-0.7821	-0.9261	0.684	-0.8875	0.9009	0.7821	0.9261	-0.684
1	1	19	18	0.8877	-0.8992	-0.7763	-0.9236	0.6977	-0.8877	0.8992	0.7763	0.9236	-0.6977
1	1	20	19	0.8879	-0.8989	-0.7715	-0.9225	0.7047	-0.8879	0.8989	0.7715	0.9225	-0.7047
1	1	21	20	0.8881	-0.8969	-0.7594	-0.9217	0.7105	-0.8881	0.8969	0.7594	0.9217	-0.7105
1	1	22	21	0.8883	-0.8993	-0.7606	-0.9226	0.7246	-0.8883	0.8993	0.7606	0.9226	-0.7246
1	1	23	22	0.8884	-0.9038	-0.7679	-0.9246	0.7216	-0.8884	0.9038	0.7679	0.9246	-0.7216
1	1	24	23	0.8885	-0.9071	-0.7702	-0.9261	0.7106	-0.8885	0.9071	0.7702	0.9261	-0.7106
1	1	25	24	0.8887	-0.908	-0.7686	-0.9254	0.7201	-0.8887	0.908	0.7686	0.9254	-0.7201
1	1	26	25	0.8888	-0.9131	-0.7803	-0.9267	0.7297	-0.8888	0.9131	0.7803	0.9267	-0.7297
1	1	27	26	0.8889	-0.9194	-0.7902	-0.9297	0.734	-0.8889	0.9194	0.7902	0.9297	-0.734
1	1	28	27	0.8891	-0.9235	-0.7874	-0.9329	0.7402	-0.8891	0.9235	0.7874	0.9329	-0.7402
1	1	29	28	0.8892	-0.9269	-0.7798	-0.9358	0.7468	-0.8892	0.9269	0.7798	0.9358	-0.7468
1	1	30	29	0.8893	-0.9293	-0.7697	-0.9379	0.7533	-0.8893	0.9293	0.7697	0.9379	-0.7533
1	1	31	30	0.8894	-0.932	-0.7612	-0.94	0.7571	-0.8894	0.932	0.7612	0.94	-0.7571
1	1	32	31	0.8895	-0.935	-0.751	-0.9422	0.7588	-0.8895	0.935	0.751	0.9422	-0.7588
1	1	33	32	0.8896	-0.9358	-0.7323	-0.9446	0.7482	-0.8896	0.9358	0.7323	0.9446	-0.7482
1	1	34	33	0.8897	-0.938	-0.7195	-0.9473	0.7434	-0.8897	0.938	0.7195	0.9473	-0.7434
1	1	35	34	0.8898	-0.9365	-0.6998	-0.9481	0.7448	-0.8898	0.9365	0.6998	0.9481	-0.7448
1	1	36	35	0.8899	-0.9384	-0.6925	-0.9496	0.7582	-0.8899	0.9384	0.6925	0.9496	-0.7582
1	1	37	36	0.8899	-0.944	-0.6967	-0.9523	0.7684	-0.8899	0.944	0.6967	0.9523	-0.7684
1	1	38	37	0.89	-0.9451	-0.6855	-0.953	0.7773	-0.89	0.9451	0.6855	0.953	-0.7773
1	1	39	38	0.8901	-0.9495	-0.6848	-0.9552	0.7818	-0.8901	0.9495	0.6848	0.9552	-0.7818
1	1	40	39	0.8901	-0.9549	-0.6856	-0.9579	0.7938	-0.8901	0.9549	0.6856	0.9579	-0.7938
1	1	41	40	0.8902	-0.9575	-0.6697	-0.9597	0.7944	-0.8902	0.9575	0.6697	0.9597	-0.7944
1	1	42	41	0.8903	-0.9585	-0.6541	-0.9598	0.7996	-0.8903	0.9585	0.6541	0.9598	-0.7996
1	1	43	42	0.8903	-0.9574	-0.639	-0.9586	0.801	-0.8903	0.9574	0.639	0.9586	-0.801
1	1	44	43	0.8903	-0.9544	-0.6128	-0.9567	0.8048	-0.8903	0.9544	0.6128	0.9567	-0.8048
1	1	45	44	0.8904	-0.954	-0.5963	-0.9561	0.7994	-0.8904	0.954	0.5963	0.9561	-0.7994
1	1	46	45	0.8904	-0.9546	-0.5917	-0.9564	0.8014	-0.8904	0.9546	0.5917	0.9564	-0.8014
1	1	47	46	0.8904	-0.9553	-0.5868	-0.957	0.8037	-0.8904	0.9553	0.5868	0.957	-0.8037
1	1	48	47	0.8904	-0.9569	-0.5797	-0.9586	0.8062	-0.8904	0.9569	0.5797	0.9586	-0.8062
1	1	49	48	0.8904	-0.9585	-0.5709	-0.9598	0.8037	-0.8904	0.9585	0.5709	0.9598	-0.8037
1	1	50	49	0.8904	-0.9606	-0.563	-0.9603	0.8028	-0.8904	0.9606	0.563	0.9603	-0.8028
1	1	51	50	0.8904	-0.9633	-0.5595	-0.9613	0.7969	-0.8904	0.9633	0.5595	0.9613	-0.7969
1	1	52	51	0.8904	-0.9632	-0.5456	-0.9613	0.7983	-0.8904	0.9632	0.5456	0.9613	-0.7983
1	1	53	52	0.8904	-0.9634	-0.5283	-0.9615	0.8005	-0.8904	0.9634	0.5283	0.9615	-0.8005
1	1	54	53	0.8904	-0.9634	-0.507	-0.9614	0.8082	-0.8904	0.9634	0.507	0.9614	-0.8082
1	1	55	54	0.8904	-0.9642	-0.4841	-0.9611	0.8094	-0.8904	0.9642	0.4841	0.9611	-0.8094
1	1	56	55	0.8903	-0.9655	-0.455	-0.961	0.8135	-0.8903	0.9655	0.455	0.961	-0.8135
1	1	57	56	0.8903	-0.9653	-0.4255	-0.9606	0.8097	-0.8903	0.9653	0.4255	0.9606	-0.8097
1	1	58	57	0.8903	-0.9678	-0.4084	-0.9623	0.8107	-0.8903	0.9678	0.4084	0.9623	-0.8107
1	1	59	58	0.8902	-0.968	-0.3798	-0.9643	0.8121	-0.8902	0.968	0.3798	0.9643	-0.8121
1	1	60	59	0.8901	-0.9677	-0.3471	-0.9665	0.8118	-0.8901	0.9677	0.3471	0.9665	-0.8118
1	1	61	60	0.8901	-0.9656	-0.3133	-0.9672	0.8116	-0.8901	0.9656	0.3133	0.9672	-0.8116
1	1	62	61	0.89	-0.9625	-0.2818	-0.9675	0.8115	-0.89	0.9625	0.2818	0.9675	-0.8115
1	1	63	62	0.8899	-0.9585	-0.2476	-0.9672	0.8111	-0.8899	0.9585	0.2476	0.9672	-0.8111
1	1	64	63	0.8898	-0.9558	-0.2182	-0.9666	0.8052	-0.8898	0.9558	0.2182	0.9666	-0.8052
1	1	65	64	0.8898	-0.955	-0.1957	-0.9659	0.8036	-0.8898	0.955	0.1957	0.9659	-0.8036
1	1	66	65	0.8897	-0.9548	-0.1861	-0.9656	0.8007	-0.8897	0.9548	0.1861	0.9656	-0.8007
1	1	67	66	0.8896	-0.9533	-0.1794	-0.9653	0.795	-0.8896	0.9533	0.1794	0.9653	-0.795
1	1	68	67	0.8895	-0.9522	-0.1698	-0.9647	0.7919	-0.8895	0.9522	0.1698	0.9647	-0.7919
1	1	69	68	0.8894	-0.9511	-0.1635	-0.9641	0.7886	-0.8894	0.9511	0.1635	0.9641	-0.7886
1	1	70	69	0.8893	-0.9502	-0.1576	-0.9644	0.7867	-0.8893	0.9502	0.1576	0.9644	-0.7867
1	1	71	70	0.8892	-0.9476	-0.1387	-0.9658	0.7893	-0.8892	0.9476	0.1387	0.9658	-0.7893
1	1	72	71	0.8891	-0.9447	-0.1111	-0.9674	0.7885	-0.8891	0.9447	0.1111	0.9674	-0.7885
1	1	73	72	0.8889	-0.9417	-0.077	-0.9686	0.7832	-0.8889	0.9417	0.077	0.9686	-0.7832
1	1	74	73	0.8888	-0.9396	-0.0581	-0.97	0.7772	-0.8888	0.9396	0.0581	0.97	-0.7772
1	1	75	74	0.8887	-0.9364	-0.0404	-0.971	0.7731	-0.8887	0.9364	0.0404	0.971	-0.7731
1	1	76	75	0.8885	-0.9319	-0.0251	-0.9722	0.7724	-0.8885	0.9319	0.0251	0.9722	-0.7724
1	1	77	76	0.8884	-0.9269	-0.0096	-0.9733	0.773	-0.8884	0.9269	0.0096	0.9733	-0.773
1	1	78	77	0.8883	-0.9206	0.0127	-0.973	0.7774	-0.8883	0.9206	-0.0127	0.973	-0.7774
1	1	79	78	0.8881	-0.9156	0.0364	-0.9724	0.7781	-0.8881	0.9156	-0.0364	0.9724	-0.7781
1	1	80	79	0.888	-0.9104	0.0603	-0.9719	0.7783	-0.888	0.9104	-0.0603	0.9719	-0.7783
1	1	81	80	0.8878	-0.9049	0.0798	-0.9719	0.7765	-0.8878	0.9049	-0.0798	0.9719	-0.7765
1	1	82	81	0.8877	-0.8995	0.0916	-0.972	0.7774	-0.8877	0.8995	-0.0916	0.972	-0.7774
1	1	83	82	0.8875	-0.8951	0.1033	-0.9714	0.7785	-0.8875	0.8951	-0.1033	0.9714	-0.7785
1	1	84	83	0.8874	-0.8901	0.1177	-0.9706	0.7774	-0.8874	0.8901	-0.1177	0.9706	-0.7774
1	1	85	84	0.8872	-0.885	0.1311	-0.97	0.7776	-0.8872	0.885	-0.1311	0.97	-0.7776
1	1	86	85	0.8871	-0.8806	0.1439	-0.9693	0.7783	-0.8871	0.8806	-0.1439	0.9693	-0.7783
1	1	87	86	0.8869	-0.8747	0.1542	-0.9692	0.7781	-0.8869	0.8747	-0.1542	0.9692	-0.7781
1	1	88	87	0.8867	-0.8658	0.1594	-0.9702	0.7749	-0.8867	0.8658	-0.1594	0.9702	-0.7749
1	1	89	88	0.8866	-0.8574	0.1714	-0.9705	0.7754	-0.8866	0.8574	-0.1714	0.9705	-0.7754
1	1	90	89	0.8864	-0.8512	0.187	-0.9708	0.7745	-0.8864	0.8512	-0.187	0.9708	-0.7745
1	1	91	90	0.8862	-0.8459	0.1907	-0.971	0.7728	-0.8862	0.8459	-0.1907	0.971	-0.7728
1	1	92	91	0.8861	-0.8425	0.191	-0.9716	0.7708	-0.8861	0.8425	-0.191	0.9716	-0.7708
1	1	93	92	0.8859	-0.8402	0.1952	-0.9719	0.768	-0.8859	0.8402	-0.1952	0.9719	-0.768
1	1	94	93	0.8857	-0.8359	0.2022	-0.9725	0.7693	-0.8857	0.8359	-0.2022	0.9725	-0.7693
1	1	95	94	0.8855	-0.8321	0.2027	-0.973	0.7697	-0.8855	0.8321	-0.2027	0.973	-0.7697
1	1	96	95	0.8854	-0.8235	0.2005	-0.973	0.7687	-0.8854	0.8235	-0.2005	0.973	-0.7687
1	1	97	96	0.8852	-0.8158	0.2029	-0.973	0.7678	-0.8852	0.8158	-0.2029	0.973	-0.7678
1	1	98	97	0.885	-0.809	0.2015	-0.9729	0.7622	-0.885	0.809	-0.2015	0.9729	-0.7622
1	1	99	98	0.8848	-0.8061	0.1965	-0.9731	0.7576	-0.8848	0.8061	-0.1965	0.9731	-0.7576
1	1	100	99	0.8846	-0.8011	0.1942	-0.9738	0.7573	-0.8846	0.8011	-0.1942	0.9738	-0.7573
1	2	8	6	0.8856	-0.943	-0.8872	-0.9563	0.2298	-0.8856	0.943	0.8872	0.9563	-0.2298
1	2	9	7	0.8856	-0.9339	-0.869	-0.9497	0.3154	-0.8856	0.9339	0.869	0.9497	-0.3154
1	2	10	8	0.8859	-0.9299	-0.8531	-0.9487	0.3683	-0.8859	0.9299	0.8531	0.9487	-0.3683
1	2	11	9	0.8861	-0.9247	-0.8368	-0.9468	0.4442	-0.8861	0.9247	0.8368	0.9468	-0.4442
1	2	12	10	0.8865	-0.9226	-0.825	-0.9474	0.46	-0.8865	0.9226	0.825	0.9474	-0.46
1	2	13	11	0.8866	-0.9188	-0.8122	-0.9463	0.4869	-0.8866	0.9188	0.8122	0.9463	-0.4869
1	2	14	12	0.8869	-0.9163	-0.8079	-0.9444	0.5375	-0.8869	0.9163	0.8079	0.9444	-0.5375
1	2	15	13	0.8871	-0.9152	-0.8077	-0.9422	0.5866	-0.8871	0.9152	0.8077	0.9422	-0.5866
1	2	16	14	0.8872	-0.9106	-0.7967	-0.9384	0.6474	-0.8872	0.9106	0.7967	0.9384	-0.6474
1	2	17	15	0.8874	-0.9057	-0.7833	-0.9343	0.6686	-0.8874	0.9057	0.7833	0.9343	-0.6686
1	2	18	16	0.8876	-0.9011	-0.7734	-0.9296	0.683	-0.8876	0.9011	0.7734	0.9296	-0.683
1	2	19	17	0.8878	-0.9	-0.7681	-0.9272	0.6972	-0.8878	0.9	0.7681	0.9272	-0.6972
1	2	20	18	0.888	-0.8998	-0.763	-0.926	0.7043	-0.888	0.8998	0.763	0.926	-0.7043
1	2	21	19	0.8882	-0.8972	-0.7493	-0.9249	0.7106	-0.8882	0.8972	0.7493	0.9249	-0.7106
1	2	22	20	0.8883	-0.8992	-0.7497	-0.9256	0.726	-0.8883	0.8992	0.7497	0.9256	-0.726
1	2	23	21	0.8885	-0.9034	-0.7562	-0.9273	0.7227	-0.8885	0.9034	0.7562	0.9273	-0.7227
1	2	24	22	0.8886	-0.9066	-0.7581	-0.9287	0.7117	-0.8886	0.9066	0.7581	0.9287	-0.7117
1	2	25	23	0.8887	-0.9077	-0.7563	-0.928	0.7215	-0.8887	0.9077	0.7563	0.928	-0.7215
1	2	26	24	0.8889	-0.913	-0.7679	-0.9294	0.7318	-0.8889	0.913	0.7679	0.9294	-0.7318
1	2	27	25	0.889	-0.9195	-0.7777	-0.9324	0.7364	-0.889	0.9195	0.7777	0.9324	-0.7364
1	2	28	26	0.8892	-0.9235	-0.7739	-0.9356	0.7427	-0.8892	0.9235	0.7739	0.9356	-0.7427
1	2	29	27	0.8893	-0.9268	-0.7653	-0.9385	0.7493	-0.8893	0.9268	0.7653	0.9385	-0.7493
1	2	30	28	0.8894	-0.929	-0.7538	-0.9406	0.7561	-0.8894	0.929	0.7538	0.9406	-0.7561
1	2	31	29	0.8894	-0.9314	-0.7434	-0.9425	0.76	-0.8894	0.9314	0.7434	0.9425	-0.76
1	2	32	30	0.8896	-0.9342	-0.7315	-0.9447	0.7618	-0.8896	0.9342	0.7315	0.9447	-0.7618
1	2	33	31	0.8896	-0.9348	-0.7121	-0.9471	0.751	-0.8896	0.9348	0.7121	0.9471	-0.751
1	2	34	32	0.8897	-0.937	-0.6989	-0.9498	0.746	-0.8897	0.937	0.6989	0.9498	-0.746
1	2	35	33	0.8898	-0.9353	-0.6791	-0.9506	0.747	-0.8898	0.9353	0.6791	0.9506	-0.747
1	2	36	34	0.8899	-0.9373	-0.6719	-0.9521	0.7607	-0.8899	0.9373	0.6719	0.9521	-0.7607
1	2	37	35	0.89	-0.9429	-0.6753	-0.9548	0.7713	-0.89	0.9429	0.6753	0.9548	-0.7713
1	2	38	36	0.89	-0.9437	-0.663	-0.9553	0.7802	-0.89	0.9437	0.663	0.9553	-0.7802
1	2	39	37	0.8901	-0.9479	-0.6609	-0.9575	0.7848	-0.8901	0.9479	0.6609	0.9575	-0.7848
1	2	40	38	0.8901	-0.953	-0.6603	-0.9601	0.7971	-0.8901	0.953	0.6603	0.9601	-0.7971
1	2	41	39	0.8902	-0.9555	-0.643	-0.9619	0.7976	-0.8902	0.9555	0.643	0.9619	-0.7976
1	2	42	40	0.8903	-0.9566	-0.6265	-0.962	0.8027	-0.8903	0.9566	0.6265	0.962	-0.8027
1	2	43	41	0.8903	-0.9557	-0.6112	-0.9608	0.8038	-0.8903	0.9557	0.6112	0.9608	-0.8038
1	2	44	42	0.8903	-0.9529	-0.5844	-0.9589	0.8075	-0.8903	0.9529	0.5844	0.9589	-0.8075
1	2	45	43	0.8904	-0.9523	-0.5671	-0.9583	0.8019	-0.8904	0.9523	0.5671	0.9583	-0.8019
1	2	46	44	0.8904	-0.9526	-0.562	-0.9584	0.8037	-0.8904	0.9526	0.562	0.9584	-0.8037
1	2	47	45	0.8904	-0.953	-0.557	-0.9589	0.8058	-0.8904	0.953	0.557	0.9589	-0.8058
1	2	48	46	0.8904	-0.9542	-0.5495	-0.9604	0.8083	-0.8904	0.9542	0.5495	0.9604	-0.8083
1	2	49	47	0.8904	-0.9554	-0.5402	-0.9615	0.8059	-0.8904	0.9554	0.5402	0.9615	-0.8059
1	2	50	48	0.8904	-0.9575	-0.5318	-0.962	0.805	-0.8904	0.9575	0.5318	0.962	-0.805
1	2	51	49	0.8904	-0.9602	-0.5279	-0.963	0.799	-0.8904	0.9602	0.5279	0.963	-0.799
1	2	52	50	0.8904	-0.96	-0.5139	-0.9629	0.8003	-0.8904	0.96	0.5139	0.9629	-0.8003
1	2	53	51	0.8904	-0.96	-0.4965	-0.9631	0.8025	-0.8904	0.96	0.4965	0.9631	-0.8025
1	2	54	52	0.8904	-0.96	-0.4748	-0.9629	0.8104	-0.8904	0.96	0.4748	0.9629	-0.8104
1	2	55	53	0.8903	-0.9609	-0.4513	-0.9626	0.8115	-0.8903	0.9609	0.4513	0.9626	-0.8115
1	2	56	54	0.8903	-0.9622	-0.4218	-0.9626	0.8156	-0.8903	0.9622	0.4218	0.9626	-0.8156
1	2	57	55	0.8902	-0.9621	-0.3922	-0.9622	0.8117	-0.8902	0.9621	0.3922	0.9622	-0.8117
1	2	58	56	0.8902	-0.9643	-0.3752	-0.9639	0.8127	-0.8902	0.9643	0.3752	0.9639	-0.8127
1	2	59	57	0.8901	-0.9641	-0.3474	-0.9659	0.8141	-0.8901	0.9641	0.3474	0.9659	-0.8141
1	2	60	58	0.8901	-0.9631	-0.3156	-0.968	0.8136	-0.8901	0.9631	0.3156	0.968	-0.8136
1	2	61	59	0.89	-0.9606	-0.2829	-0.9686	0.8134	-0.89	0.9606	0.2829	0.9686	-0.8134
