line_code	Intcp_mean	Slope_mean	Intcp_para	Slope_para
33-16	72.4444	1.1425	72.4444	-22.251
38-11	74.196	1.0154	74.2743	-19.501
4226	64.3333	0.7883	64.3333	-15.6113
4722	73.6667	1.1355	73.6667	-22.6879
A188	59.986	1.0683	59.7723	-21.7499
A214N	78.2222	1.4337	78.2222	-29.7401
A239	64.9413	1.0194	64.9997	-19.9365
A272	67.1111	1.0385	67.1111	-20.7847
A441-5	73.7778	1.0296	73.7778	-21.0242
A554	58.2116	0.9277	58.0584	-18.1675
A556	62	1.0615	62	-20.3785
A6	81.3124	1.0133	80.9887	-19.0586
A619	64.27	0.9516	64.3677	-17.8452
A632	63.4444	0.781	63.4444	-15.3038
A634	63.4444	0.9948	63.4444	-19.7167
A635	67.5556	0.9431	67.5556	-17.9892
A641	59.8889	0.9232	59.8889	-17.7165
A654	56.7892	0.8711	57.1992	-16.9714
A659	60.6026	0.7305	60.4668	-14.6424
A661	57.5482	0.9814	57.3792	-19.3729
A679	64.2811	0.6494	64.2897	-11.7702
A680	68.5556	1.0157	68.5556	-19.9498
A682	60.8889	0.912	60.8889	-17.4202
Ab28A	79.1049	0.9005	79.3542	-18.5538
B10	71.6866	0.7787	72.0546	-15.2985
B103	63.7778	0.8939	63.7778	-17.7424
B104	67.1111	1.0222	67.1111	-19.756
B105	72.3333	0.869	72.3333	-15.6783
B109	67.1111	0.9448	67.1111	-18.1615
B115	70.8579	1.0827	70.5754	-20.12
B14A	64.403	1.2503	64.0204	-26.545
B164	64.0876	1.001	64.1552	-19.3952
B2	65.8889	1.2826	65.8889	-24.2492
B37	69	0.7538	69	-15.0693
B46	67.0486	1.1062	66.7095	-23.4907
B52	72.1111	1.1431	72.1111	-21.4278
B57	66.5556	1.0587	66.5556	-20.7372
B64	55.4403	0.7827	55.3134	-15.2756
B68	70.9363	0.8997	70.8103	-17.6485
B73	69.2046	0.8019	69.2046	-15.1014
B73Htrhm	67.8889	1.0074	67.8889	-18.9506
B75	64.7778	0.9823	64.7778	-19.113
B76	67.1803	0.7697	67.0981	-14.8493
B77	68.3333	1.2015	68.3333	-22.3997
B79	68.4444	0.9477	68.4444	-19.6382
B84	70.8889	0.7957	70.8889	-14.7926
B97	68.2278	0.8029	68.2278	-15.8756
C103	70.261	0.9265	70.1627	-17.8674
C123	64.5556	0.9366	64.5556	-17.3903
C49A	56.1491	0.8403	56.0164	-16.3205
CH701-30	61.5556	1.1141	61.5556	-21.0743
CH9	63.5556	1.0302	63.5556	-19.6995
CI.7	72.4444	1.1103	72.4444	-21.5872
CI187-2	76.2222	1.0137	76.2222	-19.2639
CI21E	71.6667	0.9026	71.6667	-16.9532
CI28A	71.5556	1.1392	71.5556	-21.6593
CI31A	76.3333	0.7625	76.3333	-14.0928
CI3A	70.6667	1.0414	70.6667	-20.473
CI64	72.8889	0.9428	72.8889	-18.6534
CI66	76.3597	0.7917	76.1286	-13.8677
CI90C	73.7778	1.0728	73.7778	-21.2414
CI91B	70.9453	0.8007	71.0315	-14.9434
CM105	56.804	0.7939	56.5827	-14.5377
CM174	57.3333	0.8517	57.3333	-16.8691
CM37	52.8998	0.7129	52.9652	-12.6285
CM7	57.6607	0.9988	57.506	-19.3326
CML10	85.2137	1.5509	84.0202	-27.75
CML103	74.2753	1.192	74.2753	-23.6183
CML108	77.3333	1.1731	77.3333	-24.4618
CML11	81.4417	1.2367	81.4748	-24.2122
CML14	89.0086	2.0738	87.013	-36.4705
CML154Q	74.7778	1.1152	74.7778	-21.3403
CML157Q	76.3333	1.3659	76.3333	-26.5295
CML158Q	79.1111	1.202	79.1111	-23.4976
CML218	77.5556	1.4698	77.5556	-29.1368
CML220	68.6639	1.1881	68.3042	-22.7299
CML228	81.4368	1.6943	81.4368	-34.2303
CML238	79.8451	1.3281	79.4647	-25.8249
CML247	84.3165	1.2389	84.3165	-24.334
CML254	97.8109	2.5445	95.1303	-43.4805
CML258	88.5297	1.5225	88.9462	-29.5537
CML261	84.0068	1.7691	84.0764	-35.7656
CML264	90.0711	1.8991	90.596	-36.9105
CML277	82.7832	1.4409	82.7832	-28.3219
CML311	82.9723	1.2028	82.5208	-21.465
CML314	77.4444	1.7138	77.4444	-33.6036
CML321	83.5006	1.7376	82.9373	-32.5243
CML322	74.4542	1.2146	74.4542	-23.5805
CML323	74.6667	1.1633	74.6667	-22.3006
CML328	75.1599	1.8478	75.2346	-37.4566
CML332	76.8682	1.578	77.6137	-30.9872
CML333	75.6163	1.3352	75.6163	-26.3369
CML341	81.5112	1.7837	80.9166	-33.949
CML38	81.2197	1.3154	81.268	-26.4127
CML45	92.2143	1.8839	90.5995	-34.2126
CML5	87.2193	1.8605	86.6229	-33.6296
CML52	84.8189	1.0067	84.8803	-21.4624
CML69	80.1033	1.2288	80.1033	-24.0056
CML77	74.8677	1.249	74.4729	-23.5723
CML91	75.5556	1.1754	75.5556	-24.6414
CML92	75.4747	1.1377	76.0081	-21.9835
CMV3	54.4503	0.7344	54.2274	-12.7949
CO106	55.2075	0.9334	55.0799	-17.6893
CO125	56.9725	0.9124	56.8293	-17.703
CO255	53.7982	0.8066	53.6601	-15.9053
D940Y	78.7239	0.9462	78.3387	-21.0191
DE_2	70.9618	0.7426	70.6634	-12.7884
DE_3	68.9889	1.0909	68.4952	-20.9355
DE1	72.4682	0.9217	71.9893	-16.6894
DE811	75	0.617	75	-11.9051
E2558W	72.1111	1.2354	72.1111	-23.8415
EP1	56.2917	0.8156	56.1825	-15.407
