line_code	06PR06	05FL06	11FL07	02MO06	07NC07	10IL07	01NC06	04IL06	09NY07
33-16	56	63	64	72	72	78	74	84	89
38-11	58	NA	68	71	74	86	78	84	84
4226	50	62	58	65	65	64	67	75	73
4722	54	63	67	77	72	80	81	84	85
A188	45	46	NA	66	60	61	62	76	70
A214N	57	62	63	88	81	82	86	94	91
A239	50	NA	57	66	65	71	66	78	76
A272	52	55	59	70	68	71	74	78	77
A441-5	57	67	62	77	76	75	82	84	84
A554	45	50	NA	56	60	59	62	68	71
A556	48	50	56	59	65	65	66	76	73
A6	64	78	75	76	88	82	80	NA	97
A619	50	NA	60	58	67	72	67	74	75
A632	52	56	59	63	66	62	68	71	74
A634	51	50	56	65	65	69	66	74	75
A635	52	60	64	64	69	70	73	80	76
A641	48	50	55	58	61	62	62	68	75
A654	45	45	53	NA	58	62	61	68	64
A659	49	52	NA	65	59	59	68	76	61
A661	45	45	NA	56	60	61	62	68	69
A679	NA	59	64	60	65	62	68	74	72
A680	53	60	62	65	74	71	73	78	81
A682	50	54	53	61	62	54	65	75	74
Ab28A	NA	73	71	NA	80	86	79	92	88
B10	61	66	65	NA	73	73	74	80	83
B103	52	54	56	65	66	67	65	76	73
B104	52	55	64	66	68	73	68	79	79
B105	59	66	72	65	72	73	77	82	85
B109	53	58	62	64	68	72	73	76	78
B115	54	60	66	66	74	78	77	79	NA
B14A	NA	52	56	63	69	69	70	76	79
B164	49	NA	57	60	68	71	69	74	74
B2	50	52	58	63	65	72	68	84	81
B37	57	64	62	70	70	71	72	77	78
B46	NA	55	60	67	70	72	72	79	78
B52	55	60	68	67	72	77	82	88	80
B57	51	58	58	66	67	70	72	76	81
B64	45	47	NA	53	58	56	60	65	64
B68	NA	65	66	69	71	70	74	84	82
B73	56.7639751552795	63.7813765182186	65.9901477832512	65.6629213483146	69.68	70.1418181818182	72.0836363636364	78.5830258302583	80.1542056074766
B73Htrhm	53	58	64	62	69	73	75	78	79
B75	52	54	57	62	68	70	69	76	75
B76	NA	63	61	63	66	72	72	76	76
B77	56	47	66	64	70	74	73	84	81
B79	55	54	62	77	69	72	70	78	79
B84	57	63	71	65	70	81	74	79	78
B97	59.0909090909091	56	63	70.1818181818182	69.7272727272727	70.8181818181818	69.7272727272727	76.7272727272727	78.7777777777778
C103	NA	64	66	67	69	71	75	79	85
C123	54	56	59	60	67	62	66	79	78
C49A	45	48	NA	54	57	59	57	66	68
CH701-30	48	50	53	57	64	64	68	79	71
CH9	49	56	57	60	66	62	69	74	79
CI.7	58	60	64	70	75	78	78	84	85
CI187-2	59	73	70	71	76	82	77	87	91
CI21E	57	67	66	67	71	73	81	82	81
CI28A	56	59	68	69	73	72	75	84	88
CI31A	61	75	74	70	75	82	81	87	82
