Pedigree,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
LH162/CG60,0.839585395,-0.199469482,0.83149995,-0.004211097,0.497413313,-0.884948419,0.883289109,-0.42360622,0.387881043,-0.310490811,0.580479321
LH82/CG60,2.055122103,-1.376822016,-0.417685172,0.68558095,2.587339472,-0.691812098,-0.062827341,-0.564958714,0.318523928,0.101500619,-0.020567715
LH82/CGR01,2.848884283,-1.273691011,-0.32120612,0.483850292,2.558830968,-0.74247829,-0.061537235,-0.539295363,0.382728952,0.087998766,0.188123234
LH82/LH198,2.947095945,-0.708559284,-4.186116522,0.426518251,3.00241091,1.246451467,-0.258669924,0.789253849,0.224440325,0.07251621,0.06278198
LH198/CGR01,0.517838358,0.716179856,-0.924298518,-0.070518647,-0.945245047,0.370789344,-0.339512799,0.464584732,-0.136449565,-0.410805807,0.799420708
LH195/REDEAR-B,0.174197883,-0.150749737,-0.30729951,0.430252513,-0.704199721,1.04961934,-0.144906264,0.464345599,1.054718988,-0.717664244,-0.317678955
LH132/LH51,-2.170183532,3.60368401,-0.029709201,-0.998180809,0.17221806,1.126406079,2.912052096,1.165224167,0.789667879,0.69814198,0.361293785
B73/MO17,-2.648956354,4.315092942,-0.820187707,-1.026846497,0.598242673,1.033449781,3.057960788,1.163893529,-0.207925348,0.708633805,0.804932746
LH74/PHG35,-0.198937623,-0.628041261,-1.941162382,-0.418358037,-0.604966677,-0.157055367,0.138445479,0.265783538,0.70861542,-0.455639276,0.473942613
LH74/PHM49,-0.629923601,-0.669061037,-1.435559844,-0.673833051,-0.9328042,-0.257218645,-0.40654308,0.363709057,0.624038116,-0.457253812,0.347412299
LH74/PHN82,1.164568076,-1.600248814,-2.430236864,-0.96238164,-1.523915944,-0.660746709,0.363546588,0.013139409,0.804471838,-0.118703487,-0.165832781
PHG39/PHG35,1.247018621,-1.418565373,0.644727005,0.072304967,-0.085768662,-0.470025904,0.343993054,-0.278987142,1.279928579,-0.401405558,0.385969721
PHG39/PHM49,1.242344802,-1.425867762,0.991155888,-0.296140107,-0.222204832,-0.728458766,0.030329724,-0.283195573,1.262904571,-0.331673792,0.316533954
