"line_code","env_code","Yield"
"LH198/CGR01","COH1",129.2
"LH198/CGR01","COH1",80.33
"LH198/CGR01","NYH2",136.61
"LH198/CGR01","COH1",112.67
"LH198/CGR01","NYH1",91.17
"LH198/CGR01","COH1",128.87
"LH198/CGR01","NYH1",90.03
"LH198/CGR01","NYH2",196.71
"LH198/CGR01","IAH4",175.4
"LH198/CGR01","ONH2",76.81
"LH198/CGR01","WIH1",214.8110871
"LH198/CGR01","IAH4",159.25
"LH198/CGR01","ONH2",74.29
"LH198/CGR01","WIH1",173.4644024
"LH198/CGR01","ONH1",260.69
"LH198/CGR01","WIH2",214.8680769
"LH198/CGR01","IAH2",175.05
"LH198/CGR01","ONH1",237.29
"LH198/CGR01","IAH2",128.53
"LH198/CGR01","WIH2",224.6630516
"LH198/CGR01","MNH1",165.76
"LH198/CGR01","MIH1",206.86
"LH198/CGR01","MNH1",158.25
"LH198/CGR01","MIH1",203.17
"LH132/LH51","IAH4",189.64
"LH132/LH51","IAH4",175.03
"B73/MO17","SCH1",NA
"B73/MO17","GAH1",104.11
"B73/MO17","NEH4",21.55
"B73/MO17","NEH4",29.32
"B73/MO17","NEH3",64.62
"B73/MO17","NEH3",146.39
"B73/MO17","SCH1",NA
"B73/MO17","GAH1",122.1
"B73/MO17","GAH2",88.07
"B73/MO17","GAH2",129.97
"B73/MO17","WIH1",194.5752527
"B73/MO17","COH1",101.06
"B73/MO17","DEH1",253.27
"B73/MO17","COH1",72.34
"B73/MO17","TXH1-Dry",202.02
"B73/MO17","IAH3",216.99
"B73/MO17","DEH1",202.96
"B73/MO17","TXH1-Early",173.48
"B73/MO17","COH1",79.16
"B73/MO17","MOH1",152.32
"B73/MO17","MOH1",151.11
"B73/MO17","COH1",111.57
"B73/MO17","TXH1-Dry",152.94
"B73/MO17","INH1",220.83
"B73/MO17","INH1",218.86
"B73/MO17","TXH1-Late",127.89
"B73/MO17","IAH1",237.68
"B73/MO17","TXH1-Early",203.44
"B73/MO17","TXH1-Late",99.96
"B73/MO17","ONH2",68.1
"B73/MO17","IAH3",209
"B73/MO17","WIH1",242.9118563
"B73/MO17","IAH1",178.45
"B73/MO17","ONH2",101.78
"B73/MO17","IAH2",159.34
"B73/MO17","IAH4",198.73
"B73/MO17","MNH1",181.12
"B73/MO17","IAH4",163.36
"B73/MO17","WIH2",240.8245714
"B73/MO17","WIH2",207.8748943
"B73/MO17","IAH2",177.76
"B73/MO17","IAH4",142.57
"B73/MO17","TXH2",125.94
"B73/MO17","TXH2",124.38
"B73/MO17","IAH4",175.77
"B73/MO17","MNH1",138.89
"B73/MO17","ARH1",NA
"B73/MO17","ARH1",NA
"B73/MO17","ARH2",NA
"B73/MO17","ARH2",NA
"B73/MO17","NCH1",NA
"B73/MO17","NCH1",NA
"B73/MO17","NYH1",NA
"B73/MO17","NYH1",NA
"B73/MO17","NYH2",NA
"B73/MO17","NYH2",NA
"LH74/PHM49","GAH2",145.12
"LH74/PHM49","COH1",131.55
"LH74/PHM49","GAH2",135.9
"LH74/PHM49","COH1",119.05
"LH74/PHM49","COH1",108.85
"LH74/PHM49","INH1",208.99
"LH74/PHM49","ILH1",183.36
"LH74/PHM49","DEH1",142.68
"LH74/PHM49","ILH1",234.21
"LH74/PHM49","INH1",192.19
"LH74/PHM49","DEH1",190.52
"LH74/PHM49","NYH3",136.86
"LH74/PHM49","NYH3",113.99
"LH74/PHM49","ONH2",78.25
"LH74/PHM49","ONH2",69.13
"LH74/PHM49","OHH1",163.31
"LH74/PHM49","ONH1",175.99
"LH74/PHM49","ONH1",230.49
"LH74/PHM49","OHH1",200.7
"LH74/PHM49","COH1",NA
"LH74/PHN82","GAH1",59.55
"LH74/PHN82","NEH4",66.22
"LH74/PHN82","GAH1",110.52
"LH74/PHN82","NEH3",132.02
"LH74/PHN82","NEH3",115.71
"LH74/PHN82","NCH1",139.64
"LH74/PHN82","NEH4",56.81
"LH74/PHN82","NCH1",126.9
"LH74/PHN82","TXH1-Dry",162.71
"LH74/PHN82","NYH1",109.89
"LH74/PHN82","ILH1",205.72
"LH74/PHN82","IAH1",177.82
"LH74/PHN82","ILH1",171.38
"LH74/PHN82","TXH1-Early",175.15
"LH74/PHN82","IAH1",199.87
"LH74/PHN82","NYH2",178.84
"LH74/PHN82","TXH1-Late",101.57
"LH74/PHN82","IAH2",187.71
"LH74/PHN82","TXH1-Late",106.63
"LH74/PHN82","IAH3",245.98
"LH74/PHN82","TXH2",174.72
"LH74/PHN82","ONH1",165.54
"LH74/PHN82","MIH1",160.38
"LH74/PHN82","IAH2",190.12
"LH74/PHN82","TXH2",176.08
"LH74/PHN82","TXH1-Dry",194.03
"LH74/PHN82","TXH1-Early",191.95
"LH74/PHN82","ARH2",165.05
"LH74/PHN82","ARH2",148.75
"LH74/PHN82","OHH1",183.23
"LH74/PHN82","OHH1",160.72
"LH74/PHN82","MIH1",194.3
"LH74/PHN82","ARH1",92.2
"LH74/PHN82","ARH1",130.79
"LH74/PHN82","COH1",NA
"LH74/PHN82","COH1",NA
"LH74/PHN82","COH1",NA
"LH74/PHN82","COH1",NA
"LH74/PHN82","DEH1",NA
"LH74/PHN82","DEH1",NA
"LH74/PHN82","GAH2",NA
"LH74/PHN82","GAH2",NA
"LH74/PHN82","IAH3",NA
"LH74/PHN82","IAH4",NA
"LH74/PHN82","IAH4",NA
"LH74/PHN82","INH1",NA
"LH74/PHN82","INH1",NA
"LH74/PHN82","MNH1",NA
"LH74/PHN82","MNH1",NA
"LH74/PHN82","MOH1",NA
"LH74/PHN82","MOH1",NA
"LH74/PHN82","NYH1",NA
"LH74/PHN82","NYH2",NA
"LH74/PHN82","ONH1",NA
"LH74/PHN82","ONH2",NA
"LH74/PHN82","ONH2",NA
"LH74/PHN82","SCH1",NA
"LH74/PHN82","SCH1",NA
"LH74/PHN82","WIH1",NA
"LH74/PHN82","WIH1",NA
"LH74/PHN82","WIH2",NA
"LH74/PHN82","WIH2",NA
"PHG39/PHM49","IAH4",224.88
"PHG39/PHM49","IAH4",169.66
"PHG39/PHN82","TXH1-Dry",163.05
"PHG39/PHN82","TXH1-Dry",152.22
"PHG39/PHN82","TXH1-Late",111.48
"PHG39/PHN82","TXH1-Early",172.54
"PHG39/PHN82","TXH1-Early",202.34
"PHG39/PHN82","TXH1-Late",121.78
"PHG39/PHN82","ARH1",NA
"PHG39/PHN82","ARH1",NA
"PHG39/PHN82","ARH2",NA
"PHG39/PHN82","ARH2",NA
"PHG39/PHN82","GAH1",NA
"PHG39/PHN82","GAH1",NA
"PHG39/PHN82","IAH1",NA
"PHG39/PHN82","IAH1",NA
"PHG39/PHN82","IAH2",NA
"PHG39/PHN82","IAH2",NA
"PHG39/PHN82","IAH3",NA
"PHG39/PHN82","IAH3",NA
"PHG39/PHN82","IAH4",NA
"PHG39/PHN82","IAH4",NA
"PHG39/PHN82","ILH1",NA
"PHG39/PHN82","ILH1",NA
"PHG39/PHN82","MIH1",NA
"PHG39/PHN82","MIH1",NA
"PHG39/PHN82","NCH1",NA
"PHG39/PHN82","NCH1",NA
"PHG39/PHN82","NYH1",NA
"PHG39/PHN82","NYH1",NA
"PHG39/PHN82","NYH2",NA
"PHG39/PHN82","NYH2",NA
"PHG39/PHN82","OHH1",NA
"PHG39/PHN82","OHH1",NA
"PHG39/PHN82","ONH1",NA
"PHG39/PHN82","ONH1",NA
"PHW52/PHM49","SCH1",NA
"PHW52/PHM49","NEH4",43.45
"PHW52/PHM49","NEH3",23.72
"PHW52/PHM49","NEH4",51.98
"PHW52/PHM49","SCH1",NA
"PHW52/PHM49","NEH3",118.96
"PHW52/PHM49","GAH2",82.27
"PHW52/PHM49","GAH1",137.17
"PHW52/PHM49","GAH2",137.42
"PHW52/PHM49","GAH1",174.8
"PHW52/PHM49","DEH1",222.66
"PHW52/PHM49","COH1",93.44
"PHW52/PHM49","TXH1-Dry",172.49
"PHW52/PHM49","COH1",90.66
"PHW52/PHM49","COH1",85.77
"PHW52/PHM49","WIH1",231.425011
"PHW52/PHM49","COH1",92.47
"PHW52/PHM49","ONH2",62.92
"PHW52/PHM49","MOH1",175.66
"PHW52/PHM49","MOH1",140.15
"PHW52/PHM49","WIH2",198.3066238
"PHW52/PHM49","TXH1-Early",181.51
"PHW52/PHM49","TXH1-Dry",172.76
"PHW52/PHM49","TXH1-Early",206.23
"PHW52/PHM49","WIH2",207.402071
"PHW52/PHM49","ONH2",74.69
"PHW52/PHM49","IAH4",142.83
"PHW52/PHM49","WIH1",199.4444125
"PHW52/PHM49","TXH1-Late",72.87
"PHW52/PHM49","TXH2",140.98
"PHW52/PHM49","MNH1",149.65
"PHW52/PHM49","TXH2",125.69
"PHW52/PHM49","TXH1-Late",84.7
"PHW52/PHM49","IAH4",169.64
"PHW52/PHM49","MNH1",157.86
"PHW52/PHM49","ARH1",NA
"PHW52/PHM49","ARH1",NA
"PHW52/PHM49","ARH2",NA
"PHW52/PHM49","ARH2",NA
"PHW52/PHM49","DEH1",NA
"PHW52/PHM49","IAH1",NA
"PHW52/PHM49","IAH1",NA
"PHW52/PHM49","IAH2",NA
"PHW52/PHM49","IAH2",NA
"PHW52/PHM49","IAH3",NA
"PHW52/PHM49","IAH3",NA
"PHW52/PHM49","IAH4",NA
"PHW52/PHM49","IAH4",NA
"PHW52/PHM49","ILH1",NA
"PHW52/PHM49","ILH1",NA
"PHW52/PHM49","INH1",NA
"PHW52/PHM49","INH1",NA
"PHW52/PHM49","MIH1",NA
"PHW52/PHM49","MIH1",NA
"PHW52/PHM49","NCH1",NA
"PHW52/PHM49","NCH1",NA
"PHW52/PHM49","NYH1",NA
"PHW52/PHM49","NYH1",NA
"PHW52/PHM49","NYH2",NA
"PHW52/PHM49","NYH2",NA
"PHW52/PHM49","OHH1",NA
"PHW52/PHM49","OHH1",NA
"PHW52/PHM49","ONH1",NA
"PHW52/PHM49","ONH1",NA
"PHW52/PHN82","OHH1",22.17
"PHW52/PHN82","GAH1",103.68
"PHW52/PHN82","NEH3",45.46
"PHW52/PHN82","NCH1",156.39
"PHW52/PHN82","GAH1",147.47
"PHW52/PHN82","SCH1",NA
"PHW52/PHN82","NCH1",140.8
"PHW52/PHN82","SCH1",NA
"PHW52/PHN82","NYH1",135.52
"PHW52/PHN82","GAH2",118.19
"PHW52/PHN82","NEH4",34.68
"PHW52/PHN82","NEH4",65.94
"PHW52/PHN82","NEH3",201.16
"PHW52/PHN82","NCH1",116.29
"PHW52/PHN82","SCH1",NA
"PHW52/PHN82","NCH1",151.71
"PHW52/PHN82","GAH1",148.52
"PHW52/PHN82","GAH1",122.61
"PHW52/PHN82","SCH1",NA
"PHW52/PHN82","GAH2",194.77
"PHW52/PHN82","TXH1-Dry",166.85
"PHW52/PHN82","TXH1-Early",165.03
"PHW52/PHN82","TXH1-Dry",187.48
"PHW52/PHN82","ARH2",170.07
"PHW52/PHN82","ILH1",154.97
"PHW52/PHN82","COH1",115.02
"PHW52/PHN82","IAH3",244.12
"PHW52/PHN82","DEH1",215.27
"PHW52/PHN82","ILH1",192.78
"PHW52/PHN82","IAH1",170.55
"PHW52/PHN82","COH1",93.56
"PHW52/PHN82","COH1",141.43
"PHW52/PHN82","NYH2",201.49
"PHW52/PHN82","ILH1",138.2
"PHW52/PHN82","COH1",113.41
"PHW52/PHN82","DEH1",246.02
"PHW52/PHN82","DEH1",219.69
"PHW52/PHN82","IAH1",177.41
"PHW52/PHN82","IAH3",239.89
"PHW52/PHN82","IAH3",217.28
"PHW52/PHN82","NYH3",173.18
"PHW52/PHN82","INH1",216.81
"PHW52/PHN82","IAH1",202.49
"PHW52/PHN82","ILH1",154.72
"PHW52/PHN82","COH1",142.22
"PHW52/PHN82","COH1",127.7
"PHW52/PHN82","COH1",103.44
"PHW52/PHN82","INH1",233.44
"PHW52/PHN82","DEH1",229.71
"PHW52/PHN82","NYH1",172.28
"PHW52/PHN82","MOH1",161.98
"PHW52/PHN82","MOH1",150.92
"PHW52/PHN82","MOH1",139.73
"PHW52/PHN82","COH1",109.7
"PHW52/PHN82","MOH1",79.58
"PHW52/PHN82","IAH3",253.51
"PHW52/PHN82","TXH1-Dry",205.72
"PHW52/PHN82","NYH2",173.29
"PHW52/PHN82","ARH2",147.85
