line_code,Intcp_mean,Slope_mean,Intcp_para,Slope_para
6F629/3IIH6,157.529,1.0854,NA,-0.2507
A632/3IIH6,135.0392,1.127,NA,-1.7322
A634/3IIH6,125.5687,0.7686,NA,1.7194
A635/3IIH6,141.5522,0.7777,NA,-1.3265
A679/3IIH6,141.7437,1.3189,NA,0.9528
A680/3IIH6,157.0515,1.539,NA,-4.133
B104/3IIH6,170.0301,1.9216,NA,-9.9964
B109/3IIH6,156.2727,1.0345,NA,-5.3923
B110/3IIH6,166.6206,1.3782,NA,-3.7768
B119/3IIH6,167.5909,0.8066,NA,-2.356
B14A/H95,146.1724,1.1465,NA,-4.165
B14A/MO17,158.9488,1.1924,NA,-3.9644
B37/MO17,147.1762,0.9368,NA,1.5319
B73/3IIH6,154.1565,1.4851,NA,-8.0294
B73/PHN82,173.0389,1.2583,NA,-6.6348
B73/PHZ51,148.8231,1.0576,NA,-4.0008
B73/TX6252,139.7131,1.0069,NA,-9.6693
B84/3IIH6,160.0321,0.8519,NA,-0.963
BSSSC0_001/3IIH6,126.9495,1.1749,NA,-3.3953
BSSSC0_002/3IIH6,124.3454,0.9329,NA,-2.9764
BSSSC0_012/3IIH6,156.0467,0.7208,NA,1.6874
BSSSC0_015/3IIH6,137.425,1.2593,NA,-2.5409
BSSSC0_017/3IIH6,120.5845,0.818,NA,-1.8409
BSSSC0_020/3IIH6,120.698,0.9962,NA,0.2009
BSSSC0_024/3IIH6,131.6213,0.9471,NA,-0.4531
BSSSC0_026/3IIH6,143.1554,1.2285,NA,-2.7564
BSSSC0_038/3IIH6,128.6248,0.261,NA,3.9276
BSSSC0_054/3IIH6,95.581,-0.0174,NA,0.7072
CG102/3IIH6,164.6219,1.0894,NA,-3.7671
CG106/3IIH6,132.3124,1.0307,NA,4.4726
CG44/CGR01,128.3037,0.9033,NA,-1.9117
CG60/LH162,99.1216,0.7587,NA,-2.1561
CGR03/CG108,133.3373,0.9894,NA,-2.1641
CO258/3IIH6,147.5315,0.4056,NA,-0.3139
DKFBHJ/3IIH6,138.5544,0.6753,NA,-2.2142
F42/H95,147.7377,0.9024,NA,-3.7467
F42/MO17,158.4113,1.1131,NA,-2.5084
F42/OH43,149.4353,1.196,NA,0.6451
FBLA/3IIH6,141.746,0.5651,NA,-0.7551
FR19/3IIH6,133.5311,0.6117,NA,-1.4133
GEMN-0268/3IIH6,156.5213,1.1809,NA,-5.1491
H122W/3IIH6,144.2392,0.7923,NA,-2.1258
H84/3IIH6,152.6045,1.119,NA,-2.376
I159/3IIH6,130.4576,0.8085,NA,-0.2258
ILL.HY/3IIH6,129.8257,0.9571,NA,-0.1877
LAMA2002-58-3-B-B-B-B-B-B-1-B19-B18-B22/LH195,176.2784,1.3001,NA,-9.774
LH145/3IIH6,117.8195,0.7634,NA,-0.1726
