line_code,ARH1,COH1,GAH2,GAH1,NYH1,NCH1,ARH2,MNH1,MOH1,IAH2,OHH1,MIH1,NYH2,DEH1,IAH4,WIH2,IAH1,WIH1,IAH3
2FACC/3IIH6,90.75,NA,NA,NA,109.7,NA,NA,NA,NA,NA,NA,NA,176.175,NA,NA,NA,NA,NA,NA
6F629/3IIH6,103.66,NA,NA,NA,145.28,NA,149.55,NA,NA,NA,155.42,180.71,203.095,NA,NA,NA,NA,NA,NA
A632/3IIH6,75.725,NA,NA,NA,128.175,NA,141.515,NA,NA,114.535,175.535,115.035,169.015,NA,172.13,NA,171.09,NA,214.95
A634/3IIH6,85.97,NA,NA,NA,115.11,NA,165.415,NA,NA,108.44,88.935,141.555,163.055,115.97,160.465,NA,151.14,141.27099155,194.385
A635/3IIH6,115.845,NA,NA,NA,141.455,NA,148.425,NA,89.765,129.355,151.575,149.77,171.755,134.64,181.44,174.8391467,167.31,179.2811754,191.84
A679/3IIH6,72.065,NA,NA,NA,124.595,NA,155.23,NA,154.69,165.53,77.37,186.985,187.13,175.24,199.285,174.1994962,184.88,200.8581124,221.265
A680/3IIH6,65.42,NA,NA,NA,141.01,NA,171.32,NA,NA,NA,180.27,NA,176.04,NA,NA,NA,NA,NA,NA
AH83/3IIH6,NA,NA,NA,NA,58.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B104/3IIH6,76.385,NA,NA,NA,150.675,NA,115.785,NA,NA,213.775,208.94,199.805,203.935,NA,NA,NA,NA,NA,NA
B109/3IIH6,70.255,NA,NA,NA,191.095,NA,141.395,NA,NA,165.7,191.665,168.675,161.27,NA,190.575,NA,209.61,NA,211.805
B110/3IIH6,80.77,NA,NA,NA,173.165,NA,132.675,NA,193.77,201.09,212.3,155.04,197.14,166.475,230.07,188.71274555,223.365,244.5823453,245.805
B111/3IIH6,NA,NA,NA,NA,150.985,NA,NA,NA,NA,NA,NA,NA,201.41,NA,NA,NA,NA,NA,NA
B119/3IIH6,138.575,NA,NA,NA,151.11,NA,130.045,NA,NA,NA,178.405,203.45,189.055,NA,NA,NA,NA,NA,NA
B14A/H95,79.685,84.7425,164.285,84.45,NA,146.3,156.795,141.99,171.04,155.23,169.655,147.02,NA,93.31,166.685,147.0398546,193.965,200.8986999,246.005
B14A/MO17,76.915,82.445,144.385,140.74,143.145,166.2,131.555,192.27,168.285,139.3,182.33,155.315,168.38,142.295,173.455,254.8159159,206.575,234.6510469,253.16
B14A/OH43,NA,94.9675,94.595,125.635,NA,NA,NA,169.36,207.055,142.255,NA,NA,NA,133.975,177.375,174.0013288,185,230.13721595,259.1
B37/H95,NA,78.7825,127.02,97.98,NA,NA,NA,126.305,146.77,NA,NA,NA,NA,173.615,139.01,138.38061835,NA,179.8469315,NA
B37/MO17,141.925,NA,NA,98.975,102.13,160.32,118.735,NA,NA,NA,161.29,NA,NA,NA,NA,NA,NA,NA,NA
B37/OH43,NA,NA,81.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B73/3IIH6,76.51,NA,NA,NA,142.82,NA,126.945,NA,NA,219.47,140.155,185.145,205.205,NA,NA,NA,207.81,NA,NA
B73/MO17,NA,91.0325,109.02,113.105,NA,NA,NA,160.005,151.715,168.55,NA,NA,NA,228.115,170.1075,224.34973285,208.065,218.7435545,212.995
B73/PHM49,NA,82.7325,146.94,132.92,NA,NA,NA,149.875,178.81,NA,NA,NA,NA,NA,179.755,216.85067115,NA,263.22334235,NA
B73/PHN82,96.45,93.0375,163.545,149.05,157.985,166.195,144.725,199.405,194.8,195.875,184.485,178.005,107.62,192.03,202.8725,198.7322485,211.05,271.85010865,279.185
B73/PHZ51,101.97,82.9025,162.0525,139.23,110.005,139.87,138.585,158.205,134.58,156.505,136.93,176.98,NA,177.015,184.89,183.05409635,195.69,208.882300925,241.9675
B73/TX6252,113.765,105.02,NA,60.065,NA,NA,NA,NA,NA,179.51,NA,NA,NA,159.58,177.88,NA,179.335,NA,195.41
B84/3IIH6,137.79,NA,NA,NA,128.895,NA,184.08,NA,NA,130.55,149.16,149.215,184.32,NA,NA,NA,215.745,NA,216.39
B97/PHB47,NA,NA,112.165,101.13,NA,NA,NA,NA,174.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGEM-0005-N/LH195,NA,NA,82.525,NA,NA,NA,NA,132.995,112.85,NA,NA,NA,NA,NA,166.98,NA,148.24,134.0962113,169.355
BGEM-0063-N/LH195,NA,NA,145.475,NA,NA,127.445,NA,186.695,142.25,150.285,NA,NA,NA,NA,180.22,NA,214.685,200.85162675,239.84
BGEM-0089-N/LH195,NA,NA,124.11,NA,NA,134.145,NA,115.5,110.76,180.475,NA,NA,NA,NA,176.305,NA,146.145,159.22689685,170.82
BGEM-0124-N/LH195,NA,NA,119.625,NA,NA,118.6275,NA,119.24,126.386666666667,119.342,NA,NA,NA,NA,142.618333333333,NA,144.568333333333,158.583006333333,169.085
BGEM-0151-N/LH195,NA,NA,101.215,NA,NA,117.25,NA,133.37,129.35,134.13,NA,NA,NA,NA,131.84,NA,159.13,171.9367646,191.5
BGEM-0182-N/LH195,NA,NA,131.51,NA,NA,NA,NA,124.27,139.79,142,NA,NA,NA,NA,180.855,NA,190.29,156.6521855,239.86
BGEM-0202-N/LH195,NA,NA,149.505,NA,NA,133.755,NA,110.53,143.67,181.14,NA,NA,NA,NA,195.07,NA,195.905,176.5806847,211.06
BGEM-0203-N/LH195,NA,NA,102.95,NA,NA,106.73,NA,95.245,114.065,121.02,NA,NA,NA,NA,126.655,NA,164.54,170.53741675,122.605
BGEM-0206-N/LH195,NA,NA,143.07,NA,NA,NA,NA,87.755,123.66,NA,NA,NA,NA,NA,168.445,NA,NA,178.28623795,125.3
BGEM-0207-N/LH195,NA,NA,133.215,NA,NA,124.9,NA,92.62,145.9,NA,NA,NA,NA,NA,166.63,NA,NA,145.18228655,184.5
BGEM-0211-N/LH195,NA,NA,148.03,NA,NA,NA,NA,107.95,137.21,153.625,NA,NA,NA,NA,167.415,NA,199.49,158.9312777,205.665
BGEM-0227-N/LH195,NA,NA,113.745,NA,NA,146.33,NA,98.82,175.23,137.93,NA,NA,NA,NA,154.725,NA,169.715,147.2962671,173.43
BGEM-0235-N/LH195,NA,NA,132.22,NA,NA,150.44,NA,151.475,143.955,201.535,NA,NA,NA,NA,206.075,NA,227.235,207.6541737,242.975
BGEM-0239-N/LH195,NA,NA,131.41,NA,NA,150.84,NA,170.665,148.77,160.485,NA,NA,NA,NA,177.635,NA,179.59,174.4583356,212.555
BGEM-0246-N/LH195,NA,NA,152.05,NA,NA,NA,NA,82.02,149.4,182.42,NA,NA,NA,NA,176.89,NA,184.305,215.41023375,221.955
BGEM-0256-N/LH195,NA,NA,123.69,NA,NA,NA,NA,99.92,110.005,163.11,NA,NA,NA,NA,166.14,NA,177.92,134.1954624,210.325
BGEM-0259-N/LH195,NA,NA,133.54,NA,NA,131.64,NA,144.345,117.915,159.79,NA,NA,NA,NA,171.37,NA,136.79,181.65035505,192.67
BSSSC0_001/3IIH6,85.42,NA,NA,NA,72.1,NA,118.35,NA,NA,146.625,151.435,147.315,158.165,NA,153.11,NA,169.885,NA,202.985
BSSSC0_002/3IIH6,79.795,NA,NA,NA,128.275,NA,127.6,NA,98.6,111.955,129.835,151.835,154.815,158.865,129.285,163.6120613,180.09,152.29773375,191.615
BSSSC0_005/3IIH6,138.91,NA,NA,NA,75.72,NA,NA,NA,NA,NA,NA,NA,109.995,NA,NA,NA,NA,NA,NA
BSSSC0_008/3IIH6,85.775,NA,NA,NA,118.76,NA,NA,NA,NA,NA,NA,NA,146.31,NA,NA,NA,NA,NA,NA
BSSSC0_012/3IIH6,184.48,NA,NA,NA,118.29,NA,137.46,NA,133.545,104.65,145.355,133.78,172.23,181.935,211.64,180.6124869,188.175,204.11649285,213.33
BSSSC0_015/3IIH6,61.84,NA,NA,NA,126.1,NA,124.48,NA,154.57,159.03,170.41,164.3,157.34,159.29,180.295,183.4547409,183.665,173.97295945,226.565
BSSSC0_017/3IIH6,112.305,NA,NA,NA,88.8,NA,116.32,NA,104.725,127.555,143.4,83.655,175.465,91.31,142.325,135.70117455,149.67,176.79843445,192.23
BSSSC0_020/3IIH6,84.095,NA,NA,NA,98.69,NA,125.21,NA,NA,132.625,96.03,135.175,166.53,129.685,141.655,172.3267811,165.67,170.32288885,188.62
BSSSC0_024/3IIH6,88.325,NA,NA,NA,109.535,NA,142.815,NA,117.04,120.725,167.63,149.175,156.08,126.83,143.795,180.2750668,168.285,171.2291196,186.545
BSSSC0_026/3IIH6,92.695,NA,NA,NA,139.515,NA,137.115,NA,139.925,145.745,150.73,132.56,190.04,153.8,173.245,179.74521175,193.4,202.7452215,241.155
BSSSC0_029/3IIH6,106.12,NA,NA,NA,144.55,NA,NA,NA,NA,NA,NA,NA,143.065,NA,NA,NA,NA,NA,NA
