line_code,NEH4,ONH2,TXH1-Late,ARH1,COH1,NEH3,GAH2,GAH1,NYH1,NCH1,TXH2,ARH2,MNH1,MOH1,IAH2,OHH1,MIH1,NYH3,TXH1-Dry,TXH1-Early,NYH2,ILH1,DEH1,IAH4,ONH1,WIH2,IAH1,WIH1,INH1,IAH3
2FACC/3IIH6,NA,NA,NA,90.75,NA,NA,NA,NA,109.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.175,NA,NA,NA,NA,NA,NA,NA,NA,NA
6F629/3IIH6,NA,NA,NA,103.66,NA,NA,NA,NA,145.28,NA,NA,149.55,NA,NA,NA,155.42,180.71,NA,NA,NA,203.095,173.79,NA,NA,NA,NA,NA,NA,NA,NA
A632/3IIH6,NA,NA,NA,75.725,NA,NA,NA,NA,128.175,NA,NA,141.515,NA,NA,114.535,175.535,115.035,NA,NA,NA,169.015,183.625,NA,172.13,NA,NA,171.09,NA,180.57,214.95
A634/3IIH6,NA,NA,NA,85.97,NA,NA,NA,NA,115.11,NA,NA,165.415,NA,NA,108.44,88.935,141.555,NA,NA,NA,163.055,188.22,115.97,160.465,NA,NA,151.14,141.27099155,143.415,194.385
A635/3IIH6,NA,NA,NA,115.845,NA,NA,NA,NA,141.455,NA,NA,148.425,NA,89.765,129.355,151.575,149.77,NA,NA,NA,171.755,193.055,134.64,181.44,NA,174.8391467,167.31,179.2811754,181.62,191.84
A679/3IIH6,NA,NA,NA,72.065,NA,NA,NA,NA,124.595,NA,125.565,155.23,NA,154.69,165.53,77.37,186.985,NA,NA,NA,187.13,173.44,175.24,199.285,NA,174.1994962,184.88,200.8581124,215.09,221.265
A680/3IIH6,NA,NA,NA,65.42,NA,NA,NA,NA,141.01,NA,NA,171.32,NA,NA,NA,180.27,NA,NA,NA,NA,176.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH83/3IIH6,NA,NA,NA,NA,NA,NA,NA,NA,58.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B104/3IIH6,NA,NA,NA,76.385,NA,NA,NA,NA,150.675,NA,NA,115.785,NA,NA,213.775,208.94,199.805,NA,NA,NA,203.935,227.685,NA,NA,NA,NA,NA,NA,NA,NA
B109/3IIH6,NA,NA,NA,70.255,NA,NA,NA,NA,191.095,NA,NA,141.395,NA,NA,165.7,191.665,168.675,NA,NA,NA,161.27,177.155,NA,190.575,NA,NA,209.61,NA,199.315,211.805
B110/3IIH6,NA,NA,NA,80.77,NA,NA,NA,NA,173.165,NA,NA,132.675,NA,193.77,201.09,212.3,155.04,NA,NA,NA,197.14,189.94,166.475,230.07,NA,188.71274555,223.365,244.5823453,251.27,245.805
B111/3IIH6,NA,NA,NA,NA,NA,NA,NA,NA,150.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201.41,NA,NA,NA,NA,NA,NA,NA,NA,NA
