env_code,pop_code,ril_code,Prd_trait_mean,Prd_trait_kPara,Obs_trait,Line_mean
ARH1,1,6F629/3IIH6,106.18,175.974,103.66,167.974166666667
ARH2,1,6F629/3IIH6,155.142,159.238,149.55,160.325833333333
ILH1,1,6F629/3IIH6,191.47,NA,173.79,156.285833333333
MIH1,1,6F629/3IIH6,171.969,150.627,180.71,155.1325
NYH1,1,6F629/3IIH6,135.652,169.777,145.28,161.0375
NYH2,1,6F629/3IIH6,180.074,143.772,203.095,151.401666666667
OHH1,1,6F629/3IIH6,170.616,158.396,155.42,159.3475
ARH1,1,A632/3IIH6,84.307,159.183,75.725,160.561363636364
ARH2,1,A632/3IIH6,130.357,145.662,141.515,154.580454545455
IAH1,1,A632/3IIH6,181.934,153.634,171.09,151.891818181818
IAH2,1,A632/3IIH6,150.557,171.018,114.535,157.033181818182
IAH3,1,A632/3IIH6,204.287,143.549,214.95,147.904545454545
IAH4,1,A632/3IIH6,169.269,139.167,172.13,151.797272727273
ILH1,1,A632/3IIH6,163.074,NA,183.625,150.752272727273
INH1,1,A632/3IIH6,182.713,131.435,180.57,151.03
MIH1,1,A632/3IIH6,155.051,152.397,115.035,156.987727272727
NYH1,1,A632/3IIH6,111.099,161.355,128.175,155.793181818182
NYH2,1,A632/3IIH6,165.044,144.566,169.015,152.080454545455
OHH1,1,A632/3IIH6,143.281,151.533,175.535,151.487727272727
ARH1,1,A634/3IIH6,89.993,150.727,85.97,144.413537811538
ARH2,1,A634/3IIH6,117.705,137.248,165.415,138.302383965385
DEH1,1,A634/3IIH6,149.258,137.618,115.97,142.105845503846
IAH1,1,A634/3IIH6,157.195,122.661,151.14,139.400460888462
IAH2,1,A634/3IIH6,136.185,135.739,108.44,142.685076273077
IAH3,1,A634/3IIH6,168.139,119.917,194.385,136.073922426923
IAH4,1,A634/3IIH6,148.075,138.295,160.465,138.683153196154
ILH1,1,A634/3IIH6,142.496,NA,188.22,136.548153196154
INH1,1,A634/3IIH6,159.851,143.893,143.415,139.994691657692
MIH1,1,A634/3IIH6,136.571,138.811,141.555,140.137768580769
NYH1,1,A634/3IIH6,110.735,134.611,115.11,142.17199935
NYH2,1,A634/3IIH6,144.884,136.964,163.055,138.483922426923
OHH1,1,A634/3IIH6,136.935,138.916,88.935,144.185460888462
WIH1,1,A634/3IIH6,161.399,135.316,141.27099155,140.159615384615
ARH1,1,A635/3IIH6,92.223,154.972,115.845,159.075021473333
ARH2,1,A635/3IIH6,138.168,150.255,148.425,156.903021473333
DEH1,1,A635/3IIH6,164.982,156.721,134.64,157.822021473333
IAH1,1,A635/3IIH6,173.492,158.099,167.31,155.644021473333
IAH2,1,A635/3IIH6,151.639,167.853,129.355,158.174354806667
IAH3,1,A635/3IIH6,191.621,152.521,191.84,154.00868814
IAH4,1,A635/3IIH6,164.085,146.088,181.44,154.702021473333
ILH1,1,A635/3IIH6,159.996,NA,193.055,153.92768814
INH1,1,A635/3IIH6,173.317,142.73,181.62,154.690021473333
MIH1,1,A635/3IIH6,153.279,152.921,149.77,156.813354806667
MOH1,1,A635/3IIH6,148.476,163.665,89.765,160.81368814
NYH1,1,A635/3IIH6,124.222,161.329,141.455,157.36768814
NYH2,1,A635/3IIH6,161.842,150.378,171.755,155.34768814
OHH1,1,A635/3IIH6,149.011,158.82,151.575,156.693021473333
WIH1,1,A635/3IIH6,174.699,153.321,179.2811754,154.845943113333
WIH2,1,A635/3IIH6,168.553,147.637,174.8391467,155.14207836
ARH1,1,A679/3IIH6,80.863,175.999,72.065,170.0845380375
ARH2,1,A679/3IIH6,136.088,168.174,155.23,164.8867255375
DEH1,1,A679/3IIH6,178.132,161.99,175.24,163.6361005375
IAH1,1,A679/3IIH6,195.971,152.004,184.88,163.0336005375
IAH2,1,A679/3IIH6,155.657,157.969,165.53,164.2429755375
IAH3,1,A679/3IIH6,228.5,149.829,221.265,160.7595380375
IAH4,1,A679/3IIH6,180.783,162.039,199.285,162.1332880375
ILH1,1,A679/3IIH6,177.049,NA,173.44,163.7486005375
INH1,1,A679/3IIH6,194.947,158.209,215.09,161.1454755375
MIH1,1,A679/3IIH6,159.627,162.99,186.985,162.9020380375
MOH1,1,A679/3IIH6,143.923,171.592,154.69,164.9204755375
NYH1,1,A679/3IIH6,116.505,166.563,124.595,166.8014130375
NYH2,1,A679/3IIH6,176.593,163.248,187.13,162.8929755375
OHH1,1,A679/3IIH6,159.914,172.935,77.37,169.7529755375
TXH2,1,A679/3IIH6,123.023,166.244,125.565,166.7407880375
WIH1,1,A679/3IIH6,198.589,159.981,200.8581124,162.0349685125
WIH2,1,A679/3IIH6,189.801,165.147,174.1994962,163.701132025
ARH1,1,A680/3IIH6,127.246,173.863,65.42,167.16
ARH2,1,A680/3IIH6,147.68,106.443,171.32,140.685
NYH1,1,A680/3IIH6,125.374,182.865,141.01,148.2625
NYH2,1,A680/3IIH6,224.809,129.636,176.04,139.505
OHH1,1,A680/3IIH6,168.995,141.747,180.27,138.4475
ARH1,1,B104/3IIH6,75.037,164.344,76.385,188.657142857143
ARH2,1,B104/3IIH6,171.692,142.294,115.785,183.028571428571
IAH2,1,B104/3IIH6,187.475,201.485,213.775,169.03
ILH1,1,B104/3IIH6,218.891,NA,227.685,167.042857142857
MIH1,1,B104/3IIH6,198.191,142.768,199.805,171.025714285714
NYH1,1,B104/3IIH6,130.841,214.938,150.675,178.044285714286
NYH2,1,B104/3IIH6,228.032,134.118,203.935,170.435714285714
OHH1,1,B104/3IIH6,185.72,186.217,208.94,169.720714285714
