line_code	env_code	FTdap	PH
33-16	01NC06	74	175
33-16	02MO06	72	175
33-16	03NY06	103	NA
33-16	04IL06	84	165
33-16	05FL06	63	85
33-16	06PR06	56	150
33-16	07NC07	72	155
33-16	09NY07	89	140
33-16	10IL07	78	NA
33-16	11FL07	64	105
38-11	01NC06	78	185
38-11	02MO06	71	170
38-11	03NY06	NA	135
38-11	04IL06	84	165
38-11	05FL06	NA	45
38-11	06PR06	58	155
38-11	07NC07	74	175
38-11	09NY07	84	165
38-11	10IL07	86	180
38-11	11FL07	68	120
4226	01NC06	67	160
4226	02MO06	65	180
4226	03NY06	95	130
4226	04IL06	75	150
4226	05FL06	62	40
4226	06PR06	50	150
4226	07NC07	65	175
4226	09NY07	73	190
4226	10IL07	64	185
4226	11FL07	58	100
4722	01NC06	81	145
4722	02MO06	77	160
4722	03NY06	89	140
4722	04IL06	84	150
4722	05FL06	63	120
4722	06PR06	54	145
4722	07NC07	72	160
4722	09NY07	85	155
4722	10IL07	80	170
4722	11FL07	67	115
A188	01NC06	62	100
A188	02MO06	66	130
A188	03NY06	73	120
A188	04IL06	76	100
A188	05FL06	46	75
A188	06PR06	45	110
A188	07NC07	60	125
A188	09NY07	70	160
A188	10IL07	61	105
A188	11FL07	NA	80
A214N	01NC06	86	170
A214N	02MO06	88	180
A214N	03NY06	108	190
A214N	04IL06	94	170
A214N	05FL06	62	70
A214N	06PR06	57	120
A214N	07NC07	81	165
A214N	09NY07	91	155
A214N	10IL07	82	NA
A214N	11FL07	63	80
A239	01NC06	66	125
A239	02MO06	66	150
A239	03NY06	90	90
A239	04IL06	78	125
A239	06PR06	50	130
A239	07NC07	65	120
A239	09NY07	76	155
A239	10IL07	71	120
A239	11FL07	57	90
A272	01NC06	74	135
A272	02MO06	70	140
A272	03NY06	NA	135
A272	04IL06	78	135
A272	05FL06	55	105
A272	06PR06	52	130
A272	07NC07	68	165
A272	09NY07	77	140
A272	10IL07	71	NA
A272	11FL07	59	105
A441-5	01NC06	82	110
A441-5	02MO06	77	120
A441-5	03NY06	100	80
A441-5	04IL06	84	115
A441-5	05FL06	67	90
A441-5	06PR06	57	105
A441-5	07NC07	76	95
A441-5	09NY07	84	105
A441-5	10IL07	75	NA
A441-5	11FL07	62	85
A554	01NC06	62	110
A554	02MO06	56	130
A554	03NY06	83	95
A554	04IL06	68	105
A554	05FL06	50	70
A554	06PR06	45	110
A554	07NC07	60	95
A554	09NY07	71	130
A554	10IL07	59	NA
A554	11FL07	NA	65
A556	01NC06	66	100
A556	02MO06	59	115
A556	03NY06	NA	60
A556	04IL06	76	90
A556	05FL06	50	65
A556	06PR06	48	105
A556	07NC07	65	85
A556	09NY07	73	125
A556	10IL07	65	100
A556	11FL07	56	75
A6	01NC06	80	185
A6	02MO06	76	200
A6	03NY06	120	165
A6	04IL06	NA	140
A6	05FL06	78	95
A6	06PR06	64	185
A6	07NC07	88	145
A6	09NY07	97	195
A6	10IL07	82	200
A6	11FL07	75	110
A619	01NC06	67	155
A619	02MO06	58	165
A619	03NY06	91	100
A619	04IL06	74	125
A619	05FL06	NA	65
A619	06PR06	50	155
A619	07NC07	67	165
A619	09NY07	75	165
A619	10IL07	72	95
A619	11FL07	60	110
A632	01NC06	68	150
A632	02MO06	63	145
A632	03NY06	89	125
A632	04IL06	71	125
A632	05FL06	56	85
A632	06PR06	52	150
A632	07NC07	66	150
A632	09NY07	74	NA
A632	10IL07	62	155
A632	11FL07	59	115
A634	01NC06	66	125
A634	02MO06	65	155
A634	03NY06	90	100
A634	04IL06	74	130
A634	05FL06	50	90
A634	06PR06	51	155
A634	07NC07	65	140
A634	09NY07	75	155
A634	10IL07	69	140
A634	11FL07	56	90
A635	01NC06	73	105
A635	02MO06	64	100
A635	03NY06	84	110
A635	04IL06	80	80
